seg_id	source_masked	target_masked	translated_masked
578592bc-7cae-4f07-8370-aa63a97479b9	Джуури и татский язык: о взаимном статусе и структурных различиях		
4ec10bfa-273d-4fba-9431-817bda3b1092	Ксения Викторова		
0e4f76e5-14a9-4e23-ba56-6cf0f9253f61	Введение		
1d6c97ae-f7f4-4593-93a5-3e94dd2520a2	Джуури – язык горских евреев, один из целого ряда еврейско-иранских языков.		
bdec85b6-cb25-4505-bdf0-543e00bce377	Он относится к югозападной подгруппе иранской ветви индоевропейской языковой семьи наряду с еврейско-персидским (языком классической иудео-персидской литературы), еврейско-таджикским (бухори) и еврейско-ширазским языками.		
5507c555-36aa-4379-8ca8-c9d08572df8a	Еврейско-иранские языки никогда не были официальными языками каких-либо административных образований или политических единиц.		
437979d6-80b4-4973-8282-6f5bb612fca9	Они не использовались в образовании, так как их носители получали традиционное еврейское образование, нацеленное на овладение древнееврейским языком.		
bf87c9af-ef44-47b6-ae25-2032c5175265	Ни эти люди, ни их соседи – носители доминирующих языков не считали разговорные еврейско-иранские языки достойными лингвистического изучения и описания, и вопросы их диалектных сходств и различий даже не ставились.		
756594d8-52f0-4a14-a41a-97a869f75352	Их изучение началось ближе к моменту их исчезновения.		
09ac3909-398b-4e6d-a41d-8057ab4e486a	К сожалению, со многими языками мира случается именно это.		
6d5e4269-1cb1-4301-8a08-2d9115a3aa67	Среди всех еврейско-иранских языков судьбу языка джуури можно назвать счастливой.		
568821ff-2774-4ba5-b11f-8c3917dd3d80	С установлением советской власти для джуури на Кавказе, как и для еврейско-бухарского языка в Узбекистане начинается новая эпоха: советское государство первым в мире «увидело» миноритарные языки на своей территории, поскольку в первые годы после революции 1917 г. большевики опирались на языки «простого народа» в построении новой культуры и подготовке новых элит, лояльных советской власти.		
fd403867-2e2f-4353-8417-74c9ab0e1d84	В 1930-х гг. национальная политика в СССР, как известно, резко переменилась, но и горские, и бухарские евреи успели сделать очень много для развития своих литературных языков (Borjan 2015:		
b1edefbb-dfbc-4245-9e44-89d1921ae502	262ff).		
d94366d0-2592-4299-b8df-aec3d839e2fa	После распада СССР горские евреи основали несколько активно работающих культурных центров, самый крупный из которых – благотворительный фонд СТМЭГИ, уделяющий очень много внимания и средств поддержке, развитию, сохранению и изучению джуури.		
2087b862-330a-41f9-b77f-b5f6e634dfd2	Татский язык принадлежит к той же языковой группе, это язык, близкородственный джуури, но никакого отношения к еврейским языкам татский не имеет.		
